Query	Subject	% Similarity	E Value	Length
TC_RS00420	CPn0848	69.01	7.999999999999999e-92	839
TC_RS00425	CPnt31	98.61	7.999999999999999e-31	72
TC_RS04745	CPn0022	87.5	0.16	24
TC_RS00430	CPn0849	73.82	0.0	3510
TC_RS00435	CPn0850	80.64	0.0	1100
TC_RS00440	CPn0851	74.62	0.0	1580
TC_RS00445	CPn0852	69.54	8e-12	174
TC_RS00450	CPn0853	70.83	3e-27	240
TC_RS00455	CPn0854	67.02	1e-62	846
TC_RS00460	CPn0855	69.65	8.999999999999999e-115	982
TC_RS00465	CPn0856	68.19	5.999999999999998e-106	1097
TC_RS00470	CPn0857	85.37	1e-06	41
TC_RS00475	CPn0858	67.52	1.9999999999999995e-104	1170
TC_RS00480	CPn0859	69.84	2e-17	189
TC_RS00485	CPn0738	88.46	0.07400000000000001	26
TC_RS00485	CPn0120	88.46	0.07400000000000001	26
TC_RS00490	CPn0861	70.31	4e-10	128
TC_RS00495	CPn0425	100.0	1.0	16
TC_RS00495	CPn0386	83.87	1.0	31
TC_RS00495	CPn0363	87.5	1.0	24
TC_RS00495	CPn0109	100.0	1.0	16
TC_RS00500	CPn0863	74.0	7e-114	650
TC_RS00505	CPn0864	71.24	9.999999999999998e-93	685
TC_RS00510	CPn0459	92.0	0.038	25
TC_RS00515	CPn0866	69.79	8e-05	96
TC_RS00520	CPn0867	69.25	4e-126	1070
TC_RS00525	CPn0868	68.36	0.0	1748
TC_RS00530	CPn0869	65.79	1e-23	418
TC_RS00535	CPn0870	71.73	0.0	1252
TC_RS00540	CPn0871	76.19	7.999999999999999e-15	105
TC_RS00545	CPn0872	66.95	2e-85	1171
TC_RS00550	CPn1057	100.0	1.5	15
TC_RS00550	CPn0715	94.44	1.5	18
TC_RS00550	CPn0490	94.44	1.5	18
TC_RS00550	CPn0081	94.44	1.5	18
TC_RS00555	CPn0874	66.64	1.9999999999999995e-80	1112
TC_RS00560	CPn0875	72.61	2e-56	387
TC_RS00565	CPn0876	70.6	1e-69	568
TC_RS00570	CPn1008	95.45	0.11	22
TC_RS00570	CPn0981	100.0	0.11	17
TC_RS00575	CPn0878	71.61	9e-62	472
TC_RS00580	CPn0879	69.51	1.9999999999999997e-70	679
TC_RS00585	CPn0880	74.51	0.0	1318
TC_RS00590	CPnt32	95.95	4.0000000000000003e-29	74
TC_RS00595	CPn0338	83.33	0.21	30
TC_RS00600	CPnr01	94.33	0.0	1552
TC_RS00605	CPnr02	93.83	0.0	2869
TC_RS00610	CPnr03	93.04	1e-44	115
TC_RS00615	CPn0883	92.0	0.002	25
TC_RS00620	CPn0883	72.59	0.0	1299
TC_RS00625	CPn0884	76.99	1.9999999999999997e-47	239
TC_RS00630	CPn0885	64.32	5e-43	1079
TC_RS00635	CPn0886	80.57	2.9999999999999996e-39	175
TC_RS00640	CPn0519	100.0	0.64	17
TC_RS00645	CPn0888	86.05	4e-07	43
TC_RS00650	CPn0889	67.65	7e-118	1357
TC_RS00655	CPn0890	67.02	2.9999999999999995e-45	746
TC_RS00660	CPn0891	72.56	0.0	2066
TC_RS00665	CPn0892	69.84	0.0	2089
TC_RS00670	CPn0338	83.33	0.24	30
TC_RS00675	CPnr01	94.33	0.0	1552
