Query	Subject	% Similarity	E Value
TC_RS00840	CPn0270	94.44	2.1
TC_RS00840	CPn0246	100.0	2.1
TC_RS00840	CPn0081	100.0	2.1
TC_RS00845	CPn0926	63.08	0.0008
TC_RS00850	CPn0931	70.31	0.0
TC_RS00855	CPn0932	71.54	1.9999999999999995e-131
TC_RS00860	CPn0933	67.54	1.0000000000000001e-11
TC_RS00865	CPn0934	68.13	3e-14
TC_RS04750	CPn0935	80.43	5e-31
TC_RS00870	CPn0936	78.26	3e-27
TC_RS00875	CPn0937	79.74	1e-74
TC_RS00880	CPn0938	70.0	6e-06
TC_RS04755	CPn1027	84.62	2.3
TC_RS04755	CPn0225	100.0	2.3
TC_RS00885	CPn0939	78.27	6.9999999999999984e-87
TC_RS00890	CPn0940	65.79	4.999999999999999e-108
TC_RS00895	CPn0941	72.55	7.999999999999998e-171
TC_RS00900	CPn0942	66.72	3.9999999999999996e-97
TC_RS00905	CPn0598	90.91	0.068
TC_RS00910	CPn0870	90.91	1.5
TC_RS00910	CPn0274	94.44	1.5
TC_RS00910	CPn0028	100.0	1.5
TC_RS00915	CPn0946	67.55	0.0
TC_RS00920	CPn0947	71.0	2e-56
TC_RS00925	CPn0948	65.31	2e-48
TC_RS00930	CPnt34	98.61	7.999999999999999e-31
TC_RS04760	CPn1055	84.0	0.52
TC_RS04760	CPn0062	94.44	0.52
TC_RS00935	CPn0949	73.12	9.999999999999999e-92
TC_RS00940	CPn0516	90.48	0.48
TC_RS00940	CPn0114	90.48	0.48
TC_RS00945	CPn0951	77.74	5.999999999999999e-73
TC_RS00950	CPn0952	77.91	2e-52
TC_RS00955	CPn0953	72.57	3e-41
TC_RS00960	CPn0954	73.44	0.018000000000000002
TC_RS00965	CPn1060	100.0	2.1
TC_RS00965	CPn0883	100.0	2.1
TC_RS00965	CPn0870	79.31	2.1
TC_RS00965	CPn0841	100.0	2.1
TC_RS00965	CPn0814	100.0	2.1
TC_RS00965	CPn0150	100.0	2.1
TC_RS00970	CPn0956	67.52	4.999999999999999e-88
TC_RS00975	CPn0957	67.25	4e-42
TC_RS00980	CPn0958	70.35	2.999999999999999e-121
TC_RS00985	CPn0959	74.74	0.0
TC_RS00990	CPn0929	94.74	0.39
TC_RS00990	CPn0851	79.41	0.39
TC_RS04765	CPn0961	75.0	2.9999999999999997e-29
TC_RS00995	CPn0962	70.1	9.999999999999998e-81
TC_RS01000	CPn0963	90.32	0.002
TC_RS01000	CPn0963	87.5	0.002
TC_RS01005	CPn0471	90.91	0.16
TC_RS01010	CPn0946	91.3	0.021
TC_RS01015	CPn0206	100.0	0.09
TC_RS01020	CPn0967	72.05	0.0
TC_RS01025	CPn0968	64.22	8.999999999999999e-42
TC_RS01030	CPn0970	67.17	2.9999999999999996e-39
TC_RS01035	CPn0970	66.05	3e-32
TC_RS01040	CPn0971	69.22	7.999999999999998e-76
TC_RS01045	CPn1068	91.3	0.063
TC_RS01050	CPn0973	67.92	4.999999999999999e-106
TC_RS01055	CPn0974	72.67	9.999999999999997e-131
TC_RS01060	CPn0979	72.28	0.0
TC_RS01065	CPn0981	67.05	0.0
TC_RS01070	CPn0982	68.66	6.999999999999998e-73
TC_RS01075	CPn0983	69.61	7.999999999999999e-83
TC_RS04770	CPn0567	89.29	0.015
TC_RS01080	CPn0984	70.44	0.0
TC_RS01085	CPn0985	76.72	0.0
TC_RS04775	CPn0986	66.48	2.9999999999999995e-36
TC_RS01090	CPnt35	100.0	2e-33
TC_RS01095	CPn1017	88.0	0.52
TC_RS01100	CPn0988	67.93	1.0000000000000001e-24
TC_RS01105	CPn0712	88.0	0.12
TC_RS01110	CPn0990	77.22	1.9999999999999995e-121
TC_RS01115	CPn0991	85.13	5e-59
TC_RS01120	CPn0992	75.98	6.999999999999997e-67
TC_RS01125	CPn0993	69.15	8.999999999999999e-115
TC_RS01130	CPnt36	100.0	6.999999999999999e-39
TC_RS01135	CPn0994	66.23	5.999999999999999e-95
TC_RS01140	CPn0995	66.63	5.999999999999999e-73
TC_RS01145	CPn0996	70.0	5.999999999999998e-124
TC_RS01150	CPn0997	71.75	4e-18
TC_RS01155	CPn0998	74.09	0.0
TC_RS01160	CPn0999	68.87	0.0
TC_RS01165	CPn1000	80.0	6.999999999999998e-59
TC_RS01170	CPn1001	70.24	8e-42
TC_RS01175	CPn1002	70.3	7e-07
TC_RS01180	CPn1003	70.98	8e-19
TC_RS01185	CPn1004	69.0	2e-37
TC_RS01190	CPn1005	72.45	5.999999999999999e-69
TC_RS01195	CPn1006	78.28	5e-82
TC_RS01200	CPn1007	70.83	5e-14
