CT_556	P49915	GUAA_HUMAN
CT_556	Q96D46	NMD3_HUMAN
CT_556	Q9BVC4	LST8_HUMAN
CT_556	O75431	MTX2_HUMAN
CT_618	Q9NR45	SIAS_HUMAN
CT_618	P61962	DCAF7_HUMAN
CT_642	Q14534	ERG1_HUMAN
CT_642	Q92930	RAB8B_HUMAN
CT_642	Q9ULH0	KDIS_HUMAN
CT_642	P42704	LPPRC_HUMAN
CT_642	Q9GZT3	SLIRP_HUMAN
CT_728	Q96AA3	RFT1_HUMAN
CT_728	O60779	S19A2_HUMAN
CT_728	A6NKF9	GPHRC_HUMAN
CT_788	O60293	ZC3H1_HUMAN
CT_788	Q12770	SCAP_HUMAN
CT_788	O60610	DIAP1_HUMAN
CT_788	Q27J81	INF2_HUMAN
CT_788	O75155	CAND2_HUMAN
CT_788	Q9NSV4	DIAP3_HUMAN
CT_788	Q86XI2	CNDG2_HUMAN
CT_788	P78347	GTF2I_HUMAN
CT_788	Q7Z4Q2	HEAT3_HUMAN
CT_788	Q86U38	NOP9_HUMAN
CT_788	Q6IBW4	CNDH2_HUMAN
CT_788	Q9BT22	ALG1_HUMAN
CT_788	P56182	RRP1_HUMAN
CT_788	P55010	IF5_HUMAN
CT_788	Q86UD0	SAPC2_HUMAN
CT_788	P42695	CNDD3_HUMAN
CT_788	Q86VP6	CAND1_HUMAN
CT_788	O95347	SMC2_HUMAN
CT_788	Q9UHI6	DDX20_HUMAN
CT_788	Q07065	CKAP4_HUMAN
CT_788	Q96HR8	NAF1_HUMAN
CT_788	P04637	P53_HUMAN
CT_788	Q9H4A6	GOLP3_HUMAN
CT_788	Q8WXD5	GEMI6_HUMAN
CT_813	P52701	MSH6_HUMAN
CT_813	O00267	SPT5H_HUMAN
CT_813	Q8TF05	PP4R1_HUMAN
CT_813	P43246	MSH2_HUMAN
CT_813	Q96J02	ITCH_HUMAN
CT_813	Q8N3F8	MILK1_HUMAN
CT_813	Q6L8Q7	PDE12_HUMAN
CT_813	Q9Y6V7	DDX49_HUMAN
CT_813	P60510	PP4C_HUMAN
CT_813	Q9NYJ1	COA4_HUMAN
CT_814	Q9Y4B6	VPRBP_HUMAN
CT_814	O43164	PJA2_HUMAN
CT_814	Q9BW61	DDA1_HUMAN
CT_819	Q5TEU4	NDUF5_HUMAN
CT_819	Q8N5G0	CD052_HUMAN
CT_819	A1L188	CQ089_HUMAN
CT_819	O15067	PUR4_HUMAN
CT_819	Q13505	MTX1_HUMAN
CT_846	Q8WVP7	LMBR1_HUMAN
CT_846	O76024	WFS1_HUMAN
CT_119	Q5SW79	CE170_HUMAN
CT_119	Q08209	PP2BA_HUMAN
CT_115	Q14315	FLNC_HUMAN
CT_115	P33176	KINH_HUMAN
CT_115	P51784	UBP11_HUMAN
CT_115	Q9Y5P4	C43BP_HUMAN
CT_116	Q86TI2	DPP9_HUMAN
CT_116	Q13596	SNX1_HUMAN
CT_116	O60749	SNX2_HUMAN
CT_116	Q9UNH7	SNX6_HUMAN
CT_116	Q9Y5X3	SNX5_HUMAN
CT_116	Q86XE0	SNX32_HUMAN
CT_116	Q13888	TF2H2_HUMAN
CT_116	P46531	NOTC1_HUMAN
CT_116	P11717	MPRI_HUMAN
CT_116	Q04721	NOTC2_HUMAN
CT_116	Q92729	PTPRU_HUMAN
CT_116	P00533	EGFR_HUMAN
CT_116	Q9Y2J2	E41L3_HUMAN
CT_116	P19022	CADH2_HUMAN
CT_116	Q14574	DSC3_HUMAN
CT_116	Q68DH5	LMBD2_HUMAN
CT_116	Q5VV42	CDKAL_HUMAN
CT_116	Q04206	TF65_HUMAN
CT_116	Q13596	SNX1_HUMAN
CT_116	O60749	SNX2_HUMAN
CT_116	Q9BY67	CADM1_HUMAN
CT_116	Q9UNH7	SNX6_HUMAN
CT_116	Q9Y5X3	SNX5_HUMAN
CT_116	P05534	1A24_HUMAN
CT_116	P13746	1A11_HUMAN
CT_116	P30447	1A23_HUMAN
CT_116	Q12907	LMAN2_HUMAN
CT_116	P98172	EFNB1_HUMAN
CT_116	Q9P2W9	STX18_HUMAN
CT_116	Q9UET6	TRM7_HUMAN
CT_116	Q9Y6I9	TX264_HUMAN
CT_116	Q86Y82	STX12_HUMAN
CT_116	Q9NUM4	T106B_HUMAN
CT_116	Q8IY95	TM192_HUMAN
CT_116	O15400	STX7_HUMAN
CT_116	Q9NNW5	WDR6_HUMAN
CT_116	Q9Y2U8	MAN1_HUMAN
CT_116	O94874	UFL1_HUMAN
CT_116	Q9BRR6	ADPGK_HUMAN
CT_116	Q96AG4	LRC59_HUMAN
CT_116	Q9BQT9	CSTN3_HUMAN
CT_116	Q5SWA1	PR15B_HUMAN
CT_116	Q13190	STX5_HUMAN
CT_116	Q9BWL3	CA043_HUMAN
CT_116	P63000	RAC1_HUMAN
CT_117	P02461	CO3A1_HUMAN
CT_117	P17655	CAN2_HUMAN
CT_117	O75439	MPPB_HUMAN
CT_117	P04632	CPNS1_HUMAN
CT_117	Q06203	PUR1_HUMAN
CT_117	P54819	KAD2_HUMAN
CT_117	Q29RF7	PDS5A_HUMAN
CT_117	Q9NQC3	RTN4_HUMAN
CT_117	Q9UIA9	XPO7_HUMAN
CT_117	Q9BSJ2	GCP2_HUMAN
CT_117	Q15058	KIF14_HUMAN
CT_117	Q96KR6	F210B_HUMAN
CT_118	Q9NX20	RM16_HUMAN
